Order_ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Type_of_order,Type_of_vehicle,Weather_conditions,Road_traffic_density,Festival,City,Order_Date,Time_Orderd,Time_Order_picked,Distance_km,Time_taken_min,Day_of_week,Day_name,Month,Is_weekend,Order_hour,Pickup_hour,Time_period,Is_peak_hour,Preparation_time_min,Distance_category,Age_group,Rating_category,Delivery_person_ID_num,Experience_level
ORD000028,DEL084,41,3.9,12.99998159133916,77.68473917593204,12.969621918232985,77.58725977864623,Snack,motorcycle,Sunny,Medium,Yes,Semi-Urban,2024-06-07,19:57,20:19,11.332845950832064,71,4,Friday,6,0,19,20,Evening,1,22.0,Far,Senior,Average,84,New
ORD000029,DEL090,31,4.5,13.074784735877182,77.6253352861241,13.019289459554331,77.51658672547883,Meal,scooter,Sunny,Jam,No,Semi-Urban,2024-12-16,13:54,14:20,13.551993198701153,90,0,Monday,12,0,13,14,Afternoon,1,26.0,Far,Middle,Good,90,New
ORD000030,DEL070,44,3.8,12.965369339426143,77.58164976232999,12.923507341527486,77.61083984195682,Meal,motorcycle,Sunny,High,No,Urban,2024-08-14,19:59,20:27,5.664794076152319,44,2,Wednesday,8,0,19,20,Evening,1,28.0,Close,Senior,Average,70,New
ORD000031,DEL054,36,3.7,12.925656421389869,77.53871356096984,13.067641265317851,77.55187278771946,Meal,motorcycle,Sunny,Medium,No,Urban,2024-05-10,13:19,13:35,15.827860950780208,90,4,Friday,5,0,13,13,Afternoon,1,16.0,Far,Senior,Average,54,Intermediate
ORD000032,DEL029,29,5.0,12.913689250985811,77.63149020170883,12.94068443115529,77.59162554479609,Drinks,bicycle,Sunny,Medium,No,Metropolitan,2024-04-17,13:58,14:23,5.344083009073677,29,2,Wednesday,4,0,13,14,Afternoon,1,25.0,Close,Middle,Excellent,29,Experienced
ORD000033,DEL058,35,4.4,12.989500054504733,77.52327332078457,13.097200732661817,77.58775359343126,Snack,motorcycle,Cloudy,High,No,Semi-Urban,2024-08-12,21:50,22:08,13.933547362327785,85,0,Monday,8,0,21,22,Night,1,18.0,Far,Middle,Good,58,Intermediate
ORD000034,DEL076,34,4.1,12.932804348925751,77.66570336538436,13.083286688113017,77.60433483387041,Snack,scooter,Rainy,High,No,Semi-Urban,2024-01-18,12:52,13:15,18.03913284451448,90,3,Thursday,1,0,12,13,Afternoon,1,23.0,Far,Middle,Good,76,New
ORD000035,DEL036,34,3.9,12.96922080577702,77.54946690938777,13.020911217443572,77.66924145198546,Buffet,scooter,Cloudy,Low,No,Metropolitan,2024-09-08,19:59,20:09,14.4802210998551,90,6,Sunday,9,1,19,20,Evening,1,10.0,Far,Middle,Average,36,Intermediate
ORD000036,DEL001,38,4.4,13.063995961616488,77.60483177964974,13.032002017857476,77.65615223986228,Snack,motorcycle,Sunny,High,No,Urban,2024-06-19,11:52,12:07,6.712886931107129,36,2,Wednesday,6,0,11,12,Morning,0,15.0,Moderate,Senior,Good,1,Experienced
ORD000037,DEL098,31,3.6,12.976809476551503,77.61918946086588,13.006721293601736,77.67460028085945,Snack,motorcycle,Rainy,Low,No,Semi-Urban,2024-03-23,10:22,10:34,6.989542086714879,31,5,Saturday,3,1,10,10,Morning,0,12.0,Moderate,Middle,Average,98,New
ORD000038,DEL021,42,3.6,13.02197418365127,77.5724979980795,12.978220793726567,77.61446948276466,Drinks,electric_scooter,Cloudy,High,No,Metropolitan,2024-08-03,18:29,18:46,6.729900484681931,48,5,Saturday,8,1,18,18,Evening,0,17.0,Moderate,Senior,Average,21,Experienced
ORD000039,DEL090,39,3.5,13.000432011164564,77.63277475551445,12.970341619414784,77.62316101768029,Meal,electric_scooter,Cloudy,Medium,No,Metropolitan,2024-12-21,12:41,13:04,3.506362677629832,29,5,Saturday,12,1,12,13,Afternoon,1,23.0,Close,Senior,Average,90,New
ORD000040,DEL055,44,4.2,13.043706658594006,77.55004339177843,13.078330981348053,77.58609729142162,Snack,bicycle,Sunny,Low,No,Urban,2024-11-24,19:50,20:17,5.548587240470295,28,6,Sunday,11,1,19,20,Evening,1,27.0,Close,Senior,Good,55,Intermediate
ORD000041,DEL044,22,4.4,12.931232991797517,77.50692491475532,13.015323945222754,77.6434438190179,Snack,motorcycle,Sunny,High,No,Urban,2024-11-24,19:12,19:39,17.797665257612703,90,6,Sunday,11,1,19,19,Evening,1,27.0,Far,Young,Good,44,Intermediate
ORD000042,DEL036,24,3.6,13.084088207296723,77.69185354722698,13.064658746442674,77.54097906091276,Snack,scooter,Sunny,High,Yes,Urban,2024-11-17,20:05,20:24,16.885363843067626,90,6,Sunday,11,1,20,20,Evening,1,19.0,Far,Young,Average,36,Intermediate
ORD000043,DEL020,38,4.6,13.028726559510009,77.56400916626863,13.002814208774543,77.59503673168028,Snack,bicycle,Rainy,High,No,Urban,2024-02-26,20:45,20:57,4.487146321149026,50,0,Monday,2,0,20,20,Evening,1,12.0,Close,Senior,Excellent,20,Experienced
ORD000044,DEL028,26,3.8,12.95419074631602,77.6426924469321,12.96140498444841,77.64283462747711,Meal,scooter,Sunny,Low,Yes,Metropolitan,2024-11-28,21:50,22:11,0.8009359363830667,15,3,Thursday,11,0,21,22,Night,1,21.0,Very_Close,Middle,Average,28,Experienced
ORD000045,DEL098,40,4.5,12.924650741627612,77.60150672138408,12.918351895325944,77.65557578226188,Snack,bicycle,Sunny,High,Yes,Semi-Urban,2024-06-12,21:08,21:33,6.042253988780376,66,2,Wednesday,6,0,21,21,Night,1,25.0,Moderate,Senior,Good,98,New
ORD000046,DEL044,28,5.0,12.929945112829238,77.6337997354226,12.964739360601664,77.54958995396908,Snack,motorcycle,Cloudy,High,No,Metropolitan,2024-05-13,20:52,21:17,10.113755099048063,54,0,Monday,5,0,20,21,Evening,1,25.0,Far,Middle,Excellent,44,Intermediate
ORD000047,DEL014,26,4.5,13.05653258537922,77.52218730450313,13.07602350281302,77.53630974046379,Drinks,scooter,Cloudy,Low,No,Semi-Urban,2024-06-16,14:05,14:17,2.671710417823692,15,6,Sunday,6,1,14,14,Afternoon,1,12.0,Very_Close,Middle,Good,14,Experienced
ORD000048,DEL012,37,4.8,13.017622010662592,77.60376957502322,13.042392234776754,77.55770680945767,Drinks,scooter,Sunny,Medium,No,Metropolitan,2024-07-31,19:56,20:10,5.805355578487464,29,2,Wednesday,7,0,19,20,Evening,1,14.0,Close,Senior,Excellent,12,Experienced
ORD000049,DEL049,23,4.9,12.976151658143635,77.57844391070245,13.057165981974205,77.68403111687456,Drinks,electric_scooter,Stormy,Low,No,Semi-Urban,2024-07-12,15:01,15:30,14.772585774386387,80,4,Friday,7,0,15,15,Afternoon,0,29.0,Far,Young,Excellent,49,Intermediate
ORD000050,DEL013,44,4.2,12.966580169237377,77.59036991336674,13.05468684322011,77.52582408734739,Meal,bicycle,Sunny,Medium,No,Metropolitan,2024-01-12,15:58,16:10,12.123390149693588,90,4,Friday,1,0,15,16,Afternoon,0,12.0,Far,Senior,Good,13,Experienced
ORD000051,DEL046,33,4.6,13.071151600880103,77.69324166658885,12.923994483446297,77.69061903161843,Meal,motorcycle,Cloudy,High,No,Semi-Urban,2024-02-15,14:16,14:42,16.33703393333742,90,3,Thursday,2,0,14,14,Afternoon,1,26.0,Far,Middle,Excellent,46,Intermediate
ORD000052,DEL045,37,4.8,13.074952504756292,77.52725778096737,12.931772113211569,77.6989625211949,Snack,motorcycle,Stormy,High,No,Urban,2024-12-25,09:25,09:43,24.81617006641059,90,2,Wednesday,12,0,9,9,Morning,0,18.0,Far,Senior,Excellent,45,Intermediate
ORD000053,DEL078,28,4.0,13.016252407683858,77.65094003528228,12.963447849766805,77.65668886205694,Meal,motorcycle,Cloudy,High,No,Semi-Urban,2024-11-12,14:09,14:24,5.8959396226813805,41,1,Tuesday,11,0,14,14,Afternoon,1,15.0,Close,Middle,Average,78,New
ORD000054,DEL034,40,3.9,13.004908813133008,77.56606855883466,12.960205755733584,77.65208450937817,Snack,scooter,Sunny,Medium,Yes,Metropolitan,2024-02-15,13:36,14:06,10.76019314141774,66,3,Thursday,2,0,13,14,Afternoon,1,30.0,Far,Senior,Average,34,Experienced
ORD000055,DEL006,21,4.9,13.063289608415314,77.55807159752476,12.913216207651146,77.69065730612013,Buffet,scooter,Cloudy,Low,No,Semi-Urban,2024-03-01,20:27,20:57,22.22800864946435,90,4,Friday,3,0,20,20,Evening,1,30.0,Far,Young,Excellent,6,Experienced
ORD000056,DEL094,39,4.6,13.049867035958876,77.55415547917985,12.930694301913842,77.55810706590793,Meal,motorcycle,Sunny,High,No,Semi-Urban,2024-08-20,23:07,23:28,13.235443569053936,81,1,Tuesday,8,0,23,23,Night,0,21.0,Far,Senior,Excellent,94,New
ORD000057,DEL059,34,3.8,12.980065036665556,77.56975631064458,13.071246056713356,77.52579644113676,Buffet,bicycle,Sunny,High,No,Urban,2024-04-24,14:55,15:07,11.23594644486489,90,2,Wednesday,4,0,14,15,Afternoon,1,12.0,Far,Middle,Average,59,Intermediate
ORD000058,DEL069,26,4.2,12.916547736950172,77.57142341191872,13.01780896759634,77.66462007499248,Snack,scooter,Sunny,High,No,Semi-Urban,2024-05-16,19:24,19:52,15.275896801314447,90,3,Thursday,5,0,19,19,Evening,1,28.0,Far,Middle,Good,69,New
ORD000059,DEL016,31,4.7,13.053700021472554,77.5541494010364,12.968456598555928,77.53418600991333,Meal,bicycle,Sunny,Medium,No,Metropolitan,2024-03-07,13:38,13:59,9.718034554870544,76,3,Thursday,3,0,13,13,Afternoon,1,21.0,Moderate,Middle,Excellent,16,Experienced
ORD000060,DEL049,27,4.3,12.933740205788048,77.6334986295547,13.005295579572676,77.50908198294168,Meal,bicycle,Sunny,Medium,No,Metropolitan,2024-04-20,17:46,18:09,15.931370840172455,90,5,Saturday,4,1,17,18,Evening,0,23.0,Far,Middle,Good,49,Intermediate
ORD000061,DEL011,34,4.5,12.903275381295696,77.50954439674005,12.952262678315655,77.53929229750489,Snack,electric_scooter,Rainy,High,No,Metropolitan,2024-12-12,13:26,13:38,6.361658654931028,56,3,Thursday,12,0,13,13,Afternoon,1,12.0,Moderate,Middle,Good,11,Experienced
ORD000062,DEL071,22,4.6,13.0686605350408,77.56645876116117,13.016768463469434,77.58758131717815,Meal,scooter,Sunny,High,No,Semi-Urban,2024-03-15,14:15,14:40,6.218922443160893,39,4,Friday,3,0,14,14,Afternoon,1,25.0,Moderate,Young,Excellent,71,New
ORD000063,DEL038,33,4.4,13.015650769067344,77.55604112136722,12.91492617664718,77.59902045266301,Snack,scooter,Sunny,Medium,No,Semi-Urban,2024-11-12,13:23,13:46,12.155724707656502,57,1,Tuesday,11,0,13,13,Afternoon,1,23.0,Far,Middle,Good,38,Intermediate
ORD000064,DEL081,36,4.3,13.078333207107152,77.65028360410997,13.08053013979291,77.51250033967536,Meal,bicycle,Sunny,Jam,No,Urban,2024-10-25,22:05,22:26,15.295886379781042,90,4,Friday,10,0,22,22,Night,0,21.0,Far,Senior,Good,81,New
ORD000065,DEL080,23,4.6,12.996917616639523,77.5292997088039,12.948089316936723,77.58867887193352,Meal,motorcycle,Cloudy,Medium,No,Urban,2024-01-06,14:44,15:04,8.533357638996513,53,5,Saturday,1,1,14,15,Afternoon,1,20.0,Moderate,Young,Excellent,80,New
ORD000066,DEL047,37,4.6,13.08529622014228,77.68813742841945,13.063815100387522,77.62086151904242,Meal,motorcycle,Cloudy,Medium,No,Metropolitan,2024-07-22,20:45,21:12,7.839057406594339,39,0,Monday,7,0,20,21,Evening,1,27.0,Moderate,Senior,Excellent,47,Intermediate
ORD000067,DEL074,27,4.4,12.970794349595772,77.53410372240903,13.031999773264904,77.68636129552061,Drinks,bicycle,Fog,High,No,Urban,2024-08-04,16:04,16:33,18.214985839540255,90,6,Sunday,8,1,16,16,Afternoon,0,29.0,Far,Middle,Good,74,New
ORD000068,DEL025,23,4.0,13.04490440046686,77.57400547281271,13.004601388484668,77.54546391556866,Snack,motorcycle,Cloudy,Medium,No,Metropolitan,2024-02-18,12:21,12:36,5.481819330752564,22,6,Sunday,2,1,12,12,Afternoon,1,15.0,Close,Young,Average,25,Experienced
ORD000069,DEL091,21,4.1,12.960197301852356,77.53994003868783,13.085959292143558,77.54219407822866,Snack,electric_scooter,Sunny,Medium,No,Urban,2024-04-30,14:38,14:52,13.961822902499756,71,1,Tuesday,4,0,14,14,Afternoon,1,14.0,Far,Young,Good,91,New
ORD000070,DEL009,25,5.0,12.900232732865597,77.55733958869442,12.93136263606423,77.57788501549973,Meal,scooter,Cloudy,Jam,No,Semi-Urban,2024-12-09,09:00,09:17,4.140144412228572,35,0,Monday,12,0,9,9,Morning,0,17.0,Close,Young,Excellent,9,Experienced
ORD000071,DEL006,41,3.7,12.97594890690979,77.65220494013363,12.9238554940538,77.6967309041607,Drinks,motorcycle,Sunny,Low,No,Urban,2024-05-09,19:19,19:40,7.606768640809473,28,3,Thursday,5,0,19,19,Evening,1,21.0,Moderate,Senior,Average,6,Experienced
ORD000072,DEL085,29,3.9,13.047553102621848,77.59528094374767,12.964372026364687,77.56724495615953,Drinks,scooter,Cloudy,Low,No,Urban,2024-07-21,12:57,13:18,9.743440678287069,36,6,Sunday,7,1,12,13,Afternoon,1,21.0,Moderate,Middle,Average,85,New
ORD000073,DEL030,23,4.2,12.930004835889305,77.53251514346205,13.06604424530367,77.5087735693835,Meal,scooter,Sunny,Jam,Yes,Metropolitan,2024-10-13,13:16,13:30,15.328606983898943,90,6,Sunday,10,1,13,13,Afternoon,1,14.0,Far,Young,Good,30,Experienced
ORD000074,DEL099,41,4.8,13.00096040664148,77.50932697572891,12.907040291238047,77.55312297091915,Drinks,motorcycle,Fog,High,No,Semi-Urban,2024-03-27,14:56,15:23,11.502876643236208,69,2,Wednesday,3,0,14,15,Afternoon,1,27.0,Far,Senior,Excellent,99,New
ORD000075,DEL038,37,3.7,12.942464296970144,77.54598324403406,12.947881141461869,77.61166031692336,Snack,scooter,Cloudy,High,No,Urban,2024-08-27,14:45,15:05,7.314908512426768,56,1,Tuesday,8,0,14,15,Afternoon,1,20.0,Moderate,Senior,Average,38,Intermediate
ORD000076,DEL011,31,3.9,12.91492482428382,77.6891205557052,12.984940438337334,77.58250874513071,Snack,bicycle,Cloudy,Medium,Yes,Semi-Urban,2024-09-28,14:07,14:34,14.157728816600214,90,5,Saturday,9,1,14,14,Afternoon,1,27.0,Far,Middle,Average,11,Experienced
ORD000077,DEL030,21,3.6,13.023490396388864,77.66906334963761,13.04258819770764,77.65484461153318,Drinks,electric_scooter,Sunny,Medium,No,Semi-Urban,2024-06-09,13:31,13:56,2.642869041321108,17,6,Sunday,6,1,13,13,Afternoon,1,25.0,Very_Close,Young,Average,30,Experienced
ORD000078,DEL013,29,4.6,13.09039352446068,77.5880347431848,12.959862613522168,77.62145431746056,Drinks,scooter,Sunny,High,Yes,Metropolitan,2024-05-23,21:18,21:28,14.956271419670376,90,3,Thursday,5,0,21,21,Night,1,10.0,Far,Middle,Excellent,13,Experienced
ORD000079,DEL049,23,3.9,12.962140843743583,77.5963990443892,12.989622489246145,77.61189144139551,Snack,motorcycle,Sunny,Jam,No,Semi-Urban,2024-05-14,16:33,16:56,3.501790881107645,20,1,Tuesday,5,0,16,16,Afternoon,0,23.0,Close,Young,Average,49,Intermediate
ORD000080,DEL036,33,4.1,13.01612916007199,77.6798732278758,12.967370098174232,77.56459879030362,Snack,scooter,Cloudy,Low,No,Semi-Urban,2024-06-09,13:20,13:36,13.893033362184733,58,6,Sunday,6,1,13,13,Afternoon,1,16.0,Far,Middle,Good,36,Intermediate
ORD000081,DEL059,35,4.2,13.09072067355016,77.61826907647514,12.91841205094514,77.61036920825963,Drinks,motorcycle,Cloudy,Medium,Yes,Urban,2024-09-08,12:35,12:45,19.14634792750481,90,6,Sunday,9,1,12,12,Afternoon,1,10.0,Far,Middle,Good,59,Intermediate
ORD000082,DEL082,34,4.8,13.030096669998937,77.67615341302975,13.04773519696625,77.62311814386136,Snack,bicycle,Sunny,Medium,No,Urban,2024-12-02,22:03,22:17,6.203954153641159,38,0,Monday,12,0,22,22,Night,0,14.0,Moderate,Middle,Excellent,82,New
ORD000083,DEL047,27,4.1,13.034622660461991,77.59836782087046,12.992275879288895,77.53584095196827,Drinks,scooter,Rainy,High,Yes,Semi-Urban,2024-04-06,13:11,13:25,8.38241780942482,85,5,Saturday,4,1,13,13,Afternoon,1,14.0,Moderate,Middle,Good,47,Intermediate
ORD000084,DEL021,33,3.7,12.935785702312169,77.54001952382377,13.062502423905618,77.64717358390824,Meal,motorcycle,Sunny,Medium,No,Metropolitan,2024-01-19,13:45,14:12,18.4203555624623,90,4,Friday,1,0,13,14,Afternoon,1,27.0,Far,Middle,Average,21,Experienced
ORD000085,DEL048,42,4.3,12.998521935770563,77.64518539598845,13.038938583410827,77.57858659892084,Meal,scooter,Sunny,Low,No,Metropolitan,2024-08-27,19:02,19:17,8.647252782814016,40,1,Tuesday,8,0,19,19,Evening,1,15.0,Moderate,Senior,Good,48,Intermediate
ORD000086,DEL046,44,4.9,12.973416549417449,77.6052786639158,12.911563040037906,77.64845514201882,Meal,motorcycle,Rainy,Low,No,Metropolitan,2024-08-14,21:35,22:04,8.373009580497083,49,2,Wednesday,8,0,21,22,Night,1,29.0,Moderate,Senior,Excellent,46,Intermediate
ORD000087,DEL027,27,4.4,12.994191370478203,77.63368791599369,13.000015180099256,77.53554211616724,Meal,motorcycle,Cloudy,Medium,No,Urban,2024-09-05,12:54,13:11,10.913346353431992,59,3,Thursday,9,0,12,13,Afternoon,1,17.0,Far,Middle,Good,27,Experienced
ORD000088,DEL086,40,5.0,13.060165315288376,77.5314461833399,13.098171124723075,77.63130415571862,Snack,motorcycle,Sunny,High,No,Metropolitan,2024-03-16,12:13,12:30,11.859900017294075,64,5,Saturday,3,1,12,12,Afternoon,1,17.0,Far,Senior,Excellent,86,New
ORD000089,DEL035,35,4.8,12.99213979754922,77.6295203603838,12.961574052373187,77.50537664908377,Snack,motorcycle,Cloudy,High,No,Metropolitan,2024-05-25,13:47,14:08,14.191481677212783,81,5,Saturday,5,1,13,14,Afternoon,1,21.0,Far,Middle,Excellent,35,Experienced
ORD000090,DEL090,32,3.6,12.912570135651569,77.57645142948103,12.998591620097928,77.53179315838277,Meal,scooter,Sunny,High,No,Metropolitan,2024-09-17,14:37,14:51,10.758446721134233,81,1,Tuesday,9,0,14,14,Afternoon,1,14.0,Far,Middle,Average,90,New
ORD000091,DEL088,37,4.5,13.081108332230173,77.56639955056224,13.030406488734808,77.67822417917392,Meal,electric_scooter,Sunny,High,No,Urban,2024-01-03,20:11,20:38,13.628804248336928,90,2,Wednesday,1,0,20,20,Evening,1,27.0,Far,Senior,Good,88,New
ORD000092,DEL083,34,3.9,13.008963177490394,77.63429510821452,12.94045312007598,77.59229439117895,Meal,motorcycle,Rainy,Medium,No,Metropolitan,2024-08-01,15:49,16:13,8.919931406284972,74,3,Thursday,8,0,15,16,Afternoon,0,24.0,Moderate,Middle,Average,83,New
ORD000093,DEL010,40,4.3,13.084898871706056,77.61844782265219,13.040501442073008,77.60157256681474,Snack,bicycle,Cloudy,High,No,Urban,2024-09-12,18:01,18:27,5.272098068403158,43,3,Thursday,9,0,18,18,Evening,0,26.0,Close,Senior,Good,10,Experienced
ORD000094,DEL078,43,3.9,13.014470902405526,77.62982148578735,13.031955335288336,77.68151556396596,Meal,motorcycle,Fog,Low,No,Urban,2024-05-25,11:25,11:54,6.057369884907413,35,5,Saturday,5,1,11,11,Morning,0,29.0,Moderate,Senior,Average,78,New
